Horvu_MOREX_4H01G139200.1	HORVU.MOREX.r2.4HG0292190.1
Horvu_MOREX_1H01G318500.1	HORVU.MOREX.r2.1HG0041620.1
Horvu_MOREX_1H01G132600.1	HORVU.MOREX.r2.1HG0016740.1
Horvu_MOREX_6H01G260800.1	HORVU.MOREX.r2.6HG0481020.1
Horvu_MOREX_3H01G206900.1	HORVU.MOREX.r2.3HG0207450.1
Horvu_MOREX_4H01G423700.1	HORVU.MOREX.r2.4HG0334670.1
Horvu_MOREX_7H01G252900.1	HORVU.MOREX.r2.7HG0557450.1
Horvu_MOREX_2H01G591100.1	HORVU.MOREX.r2.2HG0156270.1
Horvu_MOREX_6H01G080900.1	HORVU.MOREX.r2.6HG0456990.1
Horvu_MOREX_7H01G507100.1	HORVU.MOREX.r2.7HG0594640.1
Horvu_MOREX_4H01G052200.1	HORVU.MOREX.r2.4HG0281900.1
Horvu_MOREX_7H01G424000.1	HORVU.MOREX.r2.7HG0583410.1
Horvu_MOREX_5H01G410700.1	HORVU.MOREX.r2.5HG0404810.1
Horvu_MOREX_1H01G117100.1	HORVU.MOREX.r2.1HG0014420.1
Horvu_MOREX_5H01G549900.1	HORVU.MOREX.r2.5HG0422460.1
Horvu_MOREX_3H01G290900.1	HORVU.MOREX.r2.3HG0220650.1
Horvu_MOREX_7H01G178300.1	HORVU.MOREX.r2.7HG0548510.1
Horvu_MOREX_3H01G581000.1	HORVU.MOREX.r2.3HG0258420.1
Horvu_MOREX_2H01G629200.1	HORVU.MOREX.r2.2HG0161050.1
Horvu_MOREX_3H01G394700.1	HORVU.MOREX.r2.3HG0235270.1
Horvu_MOREX_1H01G345200.1	HORVU.MOREX.r2.1HG0044670.1
Horvu_MOREX_6H01G386700.1	HORVU.MOREX.r2.6HG0499970.1
Horvu_MOREX_5H01G376400.1	HORVU.MOREX.r2.5HG0400770.1
Horvu_MOREX_2H01G670700.1	HORVU.MOREX.r2.2HG0165840.1
Horvu_MOREX_3H01G118700.1	HORVU.MOREX.r2.3HG0195890.1
Horvu_MOREX_2H01G732000.1	HORVU.MOREX.r2.2HG0173220.1
Horvu_MOREX_3H01G083900.1	HORVU.MOREX.r2.3HG0191940.1
Horvu_MOREX_5H01G409400.1	HORVU.MOREX.r2.5HG0404630.1
Horvu_MOREX_7H01G127800.1	HORVU.MOREX.r2.7HG0542700.1
Horvu_MOREX_1H01G457200.1	HORVU.MOREX.r2.1HG0058670.1
Horvu_MOREX_4H01G020500.1	HORVU.MOREX.r2.4HG0278320.1
Horvu_MOREX_2H01G402700.1	HORVU.MOREX.r2.2HG0131980.1
Horvu_MOREX_6H01G411000.1	HORVU.MOREX.r2.6HG0502820.1
Horvu_MOREX_5H01G424900.1	HORVU.MOREX.r2.5HG0406730.1
Horvu_MOREX_6H01G444600.1	HORVU.MOREX.r2.6HG0506930.1
Horvu_MOREX_3H01G395500.1	HORVU.MOREX.r2.3HG0235400.1
Horvu_MOREX_4H01G342500.1	HORVU.MOREX.r2.4HG0324860.1
Horvu_MOREX_1H01G513200.1	HORVU.MOREX.r2.1HG0065580.1
Horvu_MOREX_5H01G601800.1	HORVU.MOREX.r2.5HG0428620.1
Horvu_MOREX_7H01G165400.1	HORVU.MOREX.r2.7HG0546900.1
Horvu_MOREX_3H01G298200.1	HORVU.MOREX.r2.3HG0221550.1
Horvu_MOREX_7H01G303400.1	HORVU.MOREX.r2.7HG0564200.1
Horvu_MOREX_Un01G009600.1	HORVU.MOREX.r2.UnG0625210.1
Horvu_MOREX_7H01G322300.1	HORVU.MOREX.r2.7HG0567160.1
Horvu_MOREX_5H01G014200.1	HORVU.MOREX.r2.5HG0350840.1
Horvu_MOREX_3H01G601400.1	HORVU.MOREX.r2.3HG0260940.1
Horvu_MOREX_3H01G552500.1	HORVU.MOREX.r2.3HG0254920.1
Horvu_MOREX_5H01G441100.1	HORVU.MOREX.r2.5HG0408490.1
Horvu_MOREX_4H01G020400.1	HORVU.MOREX.r2.4HG0278310.1
Horvu_MOREX_4H01G461400.1	HORVU.MOREX.r2.4HG0338980.1
Horvu_MOREX_7H01G455800.1	HORVU.MOREX.r2.7HG0587740.1
Horvu_MOREX_4H01G356700.1	HORVU.MOREX.r2.4HG0326660.1
Horvu_MOREX_2H01G365500.1	HORVU.MOREX.r2.2HG0126610.1
Horvu_MOREX_6H01G539500.1	HORVU.MOREX.r2.6HG0518000.1
Horvu_MOREX_4H01G477200.1	HORVU.MOREX.r2.4HG0340630.1
Horvu_MOREX_6H01G417500.1	HORVU.MOREX.r2.6HG0503700.1
Horvu_MOREX_5H01G111200.1	HORVU.MOREX.r2.5HG0363030.1
Horvu_MOREX_6H01G508000.1	HORVU.MOREX.r2.6HG0514270.1
Horvu_MOREX_2H01G411800.1	HORVU.MOREX.r2.2HG0133330.1
Horvu_MOREX_5H01G407000.1	HORVU.MOREX.r2.5HG0404310.1
Horvu_MOREX_6H01G403300.1	HORVU.MOREX.r2.6HG0501920.1
Horvu_MOREX_4H01G461500.1	HORVU.MOREX.r2.4HG0339000.1
Horvu_MOREX_4H01G059100.1	HORVU.MOREX.r2.4HG0282610.1
Horvu_MOREX_5H01G066000.1	HORVU.MOREX.r2.5HG0357590.1
Horvu_MOREX_5H01G382000.1	HORVU.MOREX.r2.5HG0401530.1
Horvu_MOREX_7H01G139800.1	HORVU.MOREX.r2.7HG0544070.1
Horvu_MOREX_5H01G704400.1	HORVU.MOREX.r2.5HG0441410.1
Horvu_MOREX_7H01G717900.1	HORVU.MOREX.r2.7HG0620900.1
Horvu_MOREX_2H01G652700.1	HORVU.MOREX.r2.2HG0163640.1
Horvu_MOREX_4H01G398400.1	HORVU.MOREX.r2.4HG0331510.1
Horvu_MOREX_5H01G576700.1	HORVU.MOREX.r2.5HG0425520.1
Horvu_MOREX_7H01G442300.1	HORVU.MOREX.r2.7HG0585870.1
Horvu_MOREX_4H01G061900.1	HORVU.MOREX.r2.4HG0283050.1
Horvu_MOREX_4H01G369000.1	HORVU.MOREX.r2.4HG0328180.1
Horvu_MOREX_4H01G088900.1	HORVU.MOREX.r2.4HG0286250.1
Horvu_MOREX_4H01G457200.1	HORVU.MOREX.r2.4HG0338430.1
Horvu_MOREX_4H01G371000.1	HORVU.MOREX.r2.4HG0328390.1
Horvu_MOREX_6H01G324000.1	HORVU.MOREX.r2.6HG0491050.1
Horvu_MOREX_7H01G560600.1	HORVU.MOREX.r2.7HG0601050.1
Horvu_MOREX_4H01G505300.1	HORVU.MOREX.r2.4HG0343750.1
Horvu_MOREX_2H01G236000.1	HORVU.MOREX.r2.2HG0106850.1
Horvu_MOREX_6H01G136800.1	HORVU.MOREX.r2.6HG0463610.1
Horvu_MOREX_6H01G557800.1	HORVU.MOREX.r2.6HG0520400.1
Horvu_MOREX_7H01G730500.1	HORVU.MOREX.r2.7HG0622320.1
Horvu_MOREX_4H01G525300.1	HORVU.MOREX.r2.4HG0346050.1
Horvu_MOREX_7H01G333700.1	HORVU.MOREX.r2.7HG0568640.1
Horvu_MOREX_4H01G322600.1	HORVU.MOREX.r2.4HG0321950.1
Horvu_MOREX_6H01G423200.1	HORVU.MOREX.r2.6HG0504480.1
Horvu_MOREX_3H01G458500.1	HORVU.MOREX.r2.3HG0243510.1
Horvu_MOREX_5H01G555200.1	HORVU.MOREX.r2.5HG0423110.1
Horvu_MOREX_5H01G338200.1	HORVU.MOREX.r2.5HG0395710.1
Horvu_MOREX_7H01G277200.1	HORVU.MOREX.r2.7HG0560740.1
Horvu_MOREX_3H01G038100.1	HORVU.MOREX.r2.3HG0186000.1
Horvu_MOREX_6H01G423000.1	HORVU.MOREX.r2.6HG0504470.1
Horvu_MOREX_3H01G226400.1	HORVU.MOREX.r2.3HG0209720.1
Horvu_MOREX_5H01G627000.1	HORVU.MOREX.r2.5HG0431970.1
Horvu_MOREX_5H01G453900.1	HORVU.MOREX.r2.5HG0410450.1
Horvu_MOREX_5H01G470000.1	HORVU.MOREX.r2.5HG0412340.1
Horvu_MOREX_2H01G395400.1	HORVU.MOREX.r2.2HG0131040.1
Horvu_MOREX_3H01G009100.1	HORVU.MOREX.r2.3HG0182490.1
Horvu_MOREX_7H01G487900.1	HORVU.MOREX.r2.7HG0591750.1
Horvu_MOREX_2H01G084500.1	HORVU.MOREX.r2.2HG0088270.1
Horvu_MOREX_3H01G117100.1	HORVU.MOREX.r2.3HG0195700.1
Horvu_MOREX_5H01G470100.1	HORVU.MOREX.r2.5HG0412360.1
Horvu_MOREX_2H01G394700.1	HORVU.MOREX.r2.2HG0130980.1
Horvu_MOREX_Un01G045500.1	HORVU.MOREX.r2.UnG0628970.1
Horvu_MOREX_5H01G580900.1	HORVU.MOREX.r2.5HG0425950.1
Horvu_MOREX_4H01G525200.1	HORVU.MOREX.r2.4HG0346040.1
Horvu_MOREX_3H01G601600.1	HORVU.MOREX.r2.3HG0260970.1
Horvu_MOREX_7H01G116500.1	HORVU.MOREX.r2.7HG0541450.1
Horvu_MOREX_2H01G189000.1	HORVU.MOREX.r2.2HG0100900.1
Horvu_MOREX_2H01G709100.1	HORVU.MOREX.r2.2HG0170560.1
Horvu_MOREX_3H01G177800.1	HORVU.MOREX.r2.3HG0203290.1
Horvu_MOREX_5H01G659400.1	HORVU.MOREX.r2.5HG0435800.1
Horvu_MOREX_2H01G293300.1	HORVU.MOREX.r2.2HG0114000.1
Horvu_MOREX_5H01G637300.1	HORVU.MOREX.r2.5HG0433190.1
Horvu_MOREX_3H01G662600.1	HORVU.MOREX.r2.3HG0268450.1
Horvu_MOREX_2H01G316700.1	HORVU.MOREX.r2.2HG0117310.1
Horvu_MOREX_6H01G052700.1	HORVU.MOREX.r2.6HG0453850.1
Horvu_MOREX_4H01G209800.1	HORVU.MOREX.r2.4HG0303080.1
Horvu_MOREX_3H01G662300.1	HORVU.MOREX.r2.3HG0268430.1
Horvu_MOREX_6H01G396300.1	HORVU.MOREX.r2.6HG0501050.1
Horvu_MOREX_7H01G415900.1	HORVU.MOREX.r2.7HG0582310.1
Horvu_MOREX_1H01G466700.1	HORVU.MOREX.r2.1HG0059760.1
Horvu_MOREX_5H01G392900.1	HORVU.MOREX.r2.5HG0402770.1
Horvu_MOREX_4H01G494500.1	HORVU.MOREX.r2.4HG0342610.1
Horvu_MOREX_3H01G000500.1	HORVU.MOREX.r2.3HG0181460.1
Horvu_MOREX_3H01G662200.1	HORVU.MOREX.r2.3HG0268420.1
Horvu_MOREX_2H01G286600.1	HORVU.MOREX.r2.2HG0112900.1
Horvu_MOREX_7H01G304900.1	HORVU.MOREX.r2.7HG0564440.1
Horvu_MOREX_4H01G487500.1	HORVU.MOREX.r2.4HG0341840.1
Horvu_MOREX_1H01G060300.1	HORVU.MOREX.r2.1HG0007340.1
Horvu_MOREX_2H01G658700.1	HORVU.MOREX.r2.2HG0164380.1
Horvu_MOREX_7H01G582500.1	HORVU.MOREX.r2.7HG0603720.1
Horvu_MOREX_3H01G001000.1	HORVU.MOREX.r2.3HG0181490.1
Horvu_MOREX_2H01G139600.1	HORVU.MOREX.r2.2HG0094640.1
Horvu_MOREX_3H01G000700.1	HORVU.MOREX.r2.3HG0181470.1
Horvu_MOREX_1H01G159400.1	HORVU.MOREX.r2.1HG0020410.1
Horvu_MOREX_3H01G001100.1	HORVU.MOREX.r2.3HG0181500.1
Horvu_MOREX_3H01G001300.1	HORVU.MOREX.r2.3HG0181530.1
Horvu_MOREX_3H01G541200.1	HORVU.MOREX.r2.3HG0253600.1
Horvu_MOREX_5H01G403700.1	HORVU.MOREX.r2.5HG0403920.1
Horvu_MOREX_4H01G525600.1	HORVU.MOREX.r2.4HG0346110.1
Horvu_MOREX_5H01G674100.1	HORVU.MOREX.r2.5HG0437580.1
Horvu_MOREX_2H01G639100.1	HORVU.MOREX.r2.2HG0162200.1
Horvu_MOREX_7H01G194800.1	HORVU.MOREX.r2.7HG0550510.1
Horvu_MOREX_1H01G111500.1	HORVU.MOREX.r2.1HG0013700.1
Horvu_MOREX_4H01G265800.1	HORVU.MOREX.r2.4HG0314430.1
Horvu_MOREX_Un01G008300.1	HORVU.MOREX.r2.UnG0625060.1
Horvu_MOREX_6H01G107500.1	HORVU.MOREX.r2.6HG0459840.1
Horvu_MOREX_2H01G439000.1	HORVU.MOREX.r2.2HG0137300.1
Horvu_MOREX_2H01G716700.1	HORVU.MOREX.r2.2HG0171350.1
Horvu_MOREX_7H01G212600.1	HORVU.MOREX.r2.7HG0552630.1
Horvu_MOREX_6H01G469500.1	HORVU.MOREX.r2.6HG0509990.1
Horvu_MOREX_4H01G436600.1	HORVU.MOREX.r2.4HG0336070.1
Horvu_MOREX_2H01G393400.1       HORVU.MOREX.r2.2HG0130800.1
